1682   1.9601494e-01
   2.0000000e+00   0.0000000e+00  -2.0000000e+00
   1.9923894e+00   1.7431149e-01  -2.0000000e+00
   1.9696155e+00   3.4729636e-01  -2.0000000e+00
   1.9318517e+00   5.1763809e-01  -2.0000000e+00
   1.8793852e+00   6.8404029e-01  -2.0000000e+00
   1.8126156e+00   8.4523652e-01  -2.0000000e+00
   1.7320508e+00   1.0000000e+00  -2.0000000e+00
   1.6383041e+00   1.1471529e+00  -2.0000000e+00
   1.5320889e+00   1.2855752e+00  -2.0000000e+00
   1.4142136e+00   1.4142136e+00  -2.0000000e+00
   1.2855752e+00   1.5320889e+00  -2.0000000e+00
   1.1471529e+00   1.6383041e+00  -2.0000000e+00
   1.0000000e+00   1.7320508e+00  -2.0000000e+00
   8.4523652e-01   1.8126156e+00  -2.0000000e+00
   6.8404029e-01   1.8793852e+00  -2.0000000e+00
   5.1763809e-01   1.9318517e+00  -2.0000000e+00
   3.4729636e-01   1.9696155e+00  -2.0000000e+00
   1.7431149e-01   1.9923894e+00  -2.0000000e+00
   1.2246064e-16   2.0000000e+00  -2.0000000e+00
  -1.7431149e-01   1.9923894e+00  -2.0000000e+00
  -3.4729636e-01   1.9696155e+00  -2.0000000e+00
  -5.1763809e-01   1.9318517e+00  -2.0000000e+00
  -6.8404029e-01   1.8793852e+00  -2.0000000e+00
  -8.4523652e-01   1.8126156e+00  -2.0000000e+00
  -1.0000000e+00   1.7320508e+00  -2.0000000e+00
  -1.1471529e+00   1.6383041e+00  -2.0000000e+00
  -1.2855752e+00   1.5320889e+00  -2.0000000e+00
  -1.4142136e+00   1.4142136e+00  -2.0000000e+00
  -1.5320889e+00   1.2855752e+00  -2.0000000e+00
  -1.6383041e+00   1.1471529e+00  -2.0000000e+00
  -1.7320508e+00   1.0000000e+00  -2.0000000e+00
  -1.8126156e+00   8.4523652e-01  -2.0000000e+00
  -1.8793852e+00   6.8404029e-01  -2.0000000e+00
  -1.9318517e+00   5.1763809e-01  -2.0000000e+00
  -1.9696155e+00   3.4729636e-01  -2.0000000e+00
  -1.9923894e+00   1.7431149e-01  -2.0000000e+00
  -2.0000000e+00   2.4492127e-16  -2.0000000e+00
  -1.9923894e+00  -1.7431149e-01  -2.0000000e+00
  -1.9696155e+00  -3.4729636e-01  -2.0000000e+00
  -1.9318517e+00  -5.1763809e-01  -2.0000000e+00
  -1.8793852e+00  -6.8404029e-01  -2.0000000e+00
  -1.8126156e+00  -8.4523652e-01  -2.0000000e+00
  -1.7320508e+00  -1.0000000e+00  -2.0000000e+00
  -1.6383041e+00  -1.1471529e+00  -2.0000000e+00
  -1.5320889e+00  -1.2855752e+00  -2.0000000e+00
  -1.4142136e+00  -1.4142136e+00  -2.0000000e+00
  -1.2855752e+00  -1.5320889e+00  -2.0000000e+00
  -1.1471529e+00  -1.6383041e+00  -2.0000000e+00
  -1.0000000e+00  -1.7320508e+00  -2.0000000e+00
  -8.4523652e-01  -1.8126156e+00  -2.0000000e+00
  -6.8404029e-01  -1.8793852e+00  -2.0000000e+00
  -5.1763809e-01  -1.9318517e+00  -2.0000000e+00
  -3.4729636e-01  -1.9696155e+00  -2.0000000e+00
  -1.7431149e-01  -1.9923894e+00  -2.0000000e+00
  -3.6738191e-16  -2.0000000e+00  -2.0000000e+00
   1.7431149e-01  -1.9923894e+00  -2.0000000e+00
   3.4729636e-01  -1.9696155e+00  -2.0000000e+00
   5.1763809e-01  -1.9318517e+00  -2.0000000e+00
   6.8404029e-01  -1.8793852e+00  -2.0000000e+00
   8.4523652e-01  -1.8126156e+00  -2.0000000e+00
   1.0000000e+00  -1.7320508e+00  -2.0000000e+00
   1.1471529e+00  -1.6383041e+00  -2.0000000e+00
   1.2855752e+00  -1.5320889e+00  -2.0000000e+00
   1.4142136e+00  -1.4142136e+00  -2.0000000e+00
   1.5320889e+00  -1.2855752e+00  -2.0000000e+00
   1.6383041e+00  -1.1471529e+00  -2.0000000e+00
   1.7320508e+00  -1.0000000e+00  -2.0000000e+00
   1.8126156e+00  -8.4523652e-01  -2.0000000e+00
   1.8793852e+00  -6.8404029e-01  -2.0000000e+00
   1.9318517e+00  -5.1763809e-01  -2.0000000e+00
   1.9696155e+00  -3.4729636e-01  -2.0000000e+00
   1.9923894e+00  -1.7431149e-01  -2.0000000e+00
   1.8411744e+00   0.0000000e+00  -1.9257843e+00
   1.8328374e+00   1.7501475e-01  -1.9257843e+00
   1.8079020e+00   3.4844454e-01  -1.9257843e+00
   1.7665939e+00   5.1871876e-01  -1.9257843e+00
   1.7092872e+00   6.8429539e-01  -1.9257843e+00
   1.6365010e+00   8.4367493e-01  -1.9257843e+00
   1.5488944e+00   9.9541402e-01  -1.9257843e+00
   1.4472608e+00   1.1381385e+00  -1.9257843e+00
